,experiment,hour,date,device_make,platform_os,aware
16,exposed,16,2020-07-04,Generic Smartphone,6,True
23,control,4,2020-07-08,Samsung SM-A202F,6,True
45,control,15,2020-07-03,Generic Smartphone,6,True
65,exposed,13,2020-07-09,Samsung SM-G935F,6,True
89,exposed,6,2020-07-05,Generic Smartphone,6,True
100,control,16,2020-07-04,Generic Smartphone,6,True
118,control,20,2020-07-09,Samsung SM-G930F,6,True
128,exposed,11,2020-07-04,Samsung SM-G981B,6,True
144,exposed,2,2020-07-05,Generic Smartphone,6,True
157,control,15,2020-07-07,Generic Smartphone,6,True
162,control,15,2020-07-03,ELE-L09,6,True
192,exposed,1,2020-07-09,Generic Smartphone,6,True
201,control,18,2020-07-08,Generic Smartphone,6,True
226,control,19,2020-07-04,Generic Smartphone,6,True
241,exposed,20,2020-07-08,Generic Smartphone,6,True
244,exposed,6,2020-07-08,Generic Smartphone,6,True
249,control,15,2020-07-03,Generic Smartphone,6,True
267,exposed,15,2020-07-10,Generic Smartphone,6,True
282,exposed,20,2020-07-08,Generic Smartphone,6,True
292,exposed,20,2020-07-08,Generic Smartphone,6,True
301,exposed,21,2020-07-08,Generic Smartphone,6,True
305,exposed,21,2020-07-05,Generic Smartphone,6,True
310,control,10,2020-07-05,Samsung SM-G960F,6,True
352,control,14,2020-07-08,Generic Smartphone,6,True
357,control,15,2020-07-03,Samsung SM-A202F,6,True
358,exposed,21,2020-07-08,Samsung SM-A405FN,6,True
362,control,15,2020-07-03,LG-$2,6,True
393,exposed,0,2020-07-04,Samsung SM-A320FL,6,True
401,exposed,3,2020-07-05,Generic Smartphone,6,True
418,control,15,2020-07-03,Samsung SM-G950F,6,True
430,exposed,16,2020-07-08,Generic Smartphone,6,True
438,control,15,2020-07-03,Generic Smartphone,6,True
484,exposed,6,2020-07-09,Samsung SM-A505FN,6,True
488,control,15,2020-07-03,Samsung SM-G960F,6,True
514,control,0,2020-07-05,Generic Smartphone,6,True
527,control,12,2020-07-09,Generic Smartphone,6,True
549,exposed,14,2020-07-09,Generic Smartphone,6,True
558,control,22,2020-07-08,Samsung SM-G950F,6,True
563,control,3,2020-07-07,Generic Smartphone,6,True
564,control,13,2020-07-10,Samsung SM-G973F,6,True
587,exposed,8,2020-07-03,Samsung SM-A300FU,6,True
642,control,15,2020-07-03,Samsung SM-G930F,6,True
652,exposed,9,2020-07-03,Generic Smartphone,6,True
654,exposed,15,2020-07-08,Generic Smartphone,6,True
668,exposed,17,2020-07-10,Generic Smartphone,6,True
671,control,15,2020-07-03,Generic Smartphone,6,True
701,exposed,19,2020-07-09,Generic Smartphone,6,True
717,control,15,2020-07-03,Samsung SM-A750FN,6,True
718,exposed,9,2020-07-04,Generic Smartphone,6,True
738,control,5,2020-07-10,Generic Smartphone,6,True
751,control,15,2020-07-03,OnePlus ONEPLUS A5000,6,True
764,control,15,2020-07-03,Samsung SM-J330FN,6,True
781,exposed,16,2020-07-04,Samsung SM-J610FN,6,True
783,control,15,2020-07-03,Generic Smartphone,6,True
798,exposed,15,2020-07-10,Samsung SM-G900F,6,True
823,control,15,2020-07-03,Generic Smartphone,6,True
837,exposed,0,2020-07-06,POT-LX1,6,True
839,exposed,17,2020-07-08,Generic Smartphone,6,True
879,control,3,2020-07-06,Nokia undefined$2$3,6,True
929,exposed,23,2020-07-07,Generic Smartphone,6,True
997,control,16,2020-07-08,Generic Smartphone,6,True
1005,control,15,2020-07-03,Generic Smartphone,6,True
1014,exposed,16,2020-07-04,Generic Smartphone,6,True
1019,exposed,2,2020-07-09,Samsung SM-G950F,6,True
1038,control,15,2020-07-03,Samsung SM-G950F,6,True
1047,exposed,20,2020-07-07,Samsung SM-A405FN,6,True
1054,control,4,2020-07-05,Generic Smartphone,6,True
1057,exposed,8,2020-07-09,Generic Smartphone,6,True
1064,exposed,14,2020-07-04,Samsung SM-G960F,6,True
1067,exposed,8,2020-07-04,Nokia$2$3,6,True
1090,exposed,0,2020-07-10,Generic Smartphone,6,True
1119,exposed,1,2020-07-06,Samsung SM-A505FN,6,True
1133,control,3,2020-07-04,Samsung SM-J530F,6,True
1138,exposed,6,2020-07-03,Nokia$2$3,6,True
1142,control,15,2020-07-03,Samsung SM-G975F,6,True
1152,exposed,16,2020-07-04,Generic Smartphone,6,True
1167,control,15,2020-07-03,Generic Smartphone,6,True
1171,control,15,2020-07-10,Generic Smartphone,6,True
